Player,Nation,Team,Position,Age,Matches played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals,Expedted Assist Goals,Progressive Carries in Progression,Progressive Passes in Progression,Progressive Passes Received in Progression,Goals Scored per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists Goals per 90 minutes,Goals Against per 90 minutes,Save Percentage,Clean Sheets Percentage,Penalty Save Percentage,Percentage of shots that are on target,Shots on target per 90 minutes,Goals per shot,Average Shot Distance,Passes Completed,Pass Completion Percentage,Total Passing Distance,Passes Completion Percentage (Short),Passes Completion Percentage (Medium),Passes Completion Percentage (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes in Expected,Shot-Creating Actions,Shot-Creating Actions per 90 minutes,Goal-Creating Actions,Goal-Creating Actions per 90 minutes,Tackles,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocks,Shots Blocked,Passes Blocked,Interceptions,Touches,Touches(Defensive Penalty Area),Touches(Defensive Third),Touches(Mid Third),Touches(Attacking Third),Touches(Attacking Penalty Area),Take-Ons Attempted(Take-Ons),Percentage of Take-Ons Completed Successfully,Tackled During Take-Ons Percentage,Carries,Progressive Carrying Distance,Progressive Carries in Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received in Receiving,Fouls Committed,Fouls Drawn,Offsides,Crosses,Ball Recoveries,Aerials Won,Aerials Lost,Aerials Won Percentage
Bernd Leno,GER,Fulham,GK,33-059,34,34,"3,060",0,1,4,0,0.0,0.1,0,0,0,0.00,0.03,0.00,0.00,1.35,68.3,14.7,0.0,N/a,0.00,N/a,N/a,1030,81.2,25014,99.5,98.9,46.7,2,14,2,0,0,5,0.15,2,0.06,2,2,2,0,1,0,1,0,1328,1066,1318,10,0,0,0,N/a,N/a,879,1981,0,0,0,0,0,781,0,0,3,0,0,47,9,0,100.0
Beto,GNB,Everton,FW,27-091,26,11,"1,192",6,0,2,0,6.1,0.8,12,9,62,0.45,0.00,0.46,0.06,N/a,N/a,N/a,N/a,51.4,1.36,0.17,13.6,116,56.6,1593,68.0,48.5,87.5,8,5,3,1,9,17,1.28,0,0.00,13,6,8,3,7,1,6,3,403,21,41,182,185,65,32,53.1,43.8,210,387,12,9,9,53,32,291,62,29,18,14,3,29,74,86,46.3
Bilal El Khannouss,MAR,Leicester City,MF,20-357,29,24,"1,920",2,2,4,0,0.9,3.2,61,118,77,0.09,0.09,0.04,0.15,N/a,N/a,N/a,N/a,26.1,0.28,0.09,22.8,714,75.2,12717,85.8,81.0,57.1,31,81,27,5,118,59,2.77,4,0.19,46,26,28,13,19,4,15,6,1126,16,163,584,391,27,46,58.7,37.0,649,1788,61,38,9,35,34,753,77,27,9,1,78,83,19,19,50.0
Billy Gilmour,SCO,Brighton,MF,23-325,2,1,98,0,0,0,0,0.1,0.0,2,11,2,0.00,0.00,0.07,0.00,N/a,N/a,N/a,N/a,0.0,0.00,0.00,25.5,58,86.6,980,94.7,81.8,57.1,0,12,2,0,11,3,2.76,0,0.00,3,3,4,1,1,0,1,0,73,2,14,46,13,0,2,50.0,50.0,44,117,2,0,0,0,0,58,2,2,3,0,1,5,0,0,N/a
Bobby De Cordova-Reid,JAM,Leicester City,FW,32-089,23,9,744,1,2,2,0,0.8,1.2,14,15,48,0.12,0.24,0.10,0.15,N/a,N/a,N/a,N/a,42.9,0.36,0.14,25.1,145,70.4,1883,81.5,73.6,33.3,6,9,5,0,15,13,1.57,3,0.36,9,4,14,10,6,1,5,0,272,15,49,114,109,16,10,0.0,80.0,174,389,14,5,6,11,10,188,48,9,9,4,15,29,6,14,30.0
Boubacar Kamara,FRA,Aston Villa,MF,25-160,22,16,"1,373",0,0,2,0,0.4,0.9,16,72,5,0.00,0.00,0.02,0.06,N/a,N/a,N/a,N/a,14.3,0.07,0.00,21.1,674,89.2,10544,93.5,91.4,53.1,10,77,8,0,72,24,1.57,2,0.13,46,19,51,25,17,7,10,16,911,88,288,520,109,8,22,36.4,31.8,467,1082,16,11,1,9,11,610,5,23,26,0,1,67,16,21,43.2
Boubakary Soumaré,FRA,Leicester City,MF,26-064,27,23,"1,953",0,0,8,0,0.3,0.4,31,94,21,0.00,0.00,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.4,982,86.7,14896,91.9,87.6,70.4,11,90,13,2,94,34,1.57,3,0.14,33,18,30,12,19,7,12,24,1318,62,348,833,150,17,44,61.4,29.5,787,1881,31,16,3,20,21,925,21,21,21,0,8,130,19,9,67.9
Brajan Gruda,GER,Brighton,"FW,MF",20-336,17,6,507,0,3,0,0,0.4,1.2,16,17,47,0.00,0.53,0.07,0.22,N/a,N/a,N/a,N/a,50.0,0.36,0.00,16.8,138,73.4,1846,82.6,71.1,38.1,14,7,10,1,17,26,4.61,4,0.71,14,6,14,7,8,0,8,2,259,4,33,89,141,33,23,39.1,43.5,152,491,16,17,10,9,20,170,47,6,9,1,17,19,3,4,42.9
Brennan Johnson,WAL,Tottenham,FW,23-344,31,23,"2,083",11,3,5,0,9.8,2.3,57,70,194,0.48,0.13,0.43,0.10,N/a,N/a,N/a,N/a,37.7,0.86,0.21,11.4,438,71.0,5790,80.5,75.7,34.4,19,25,35,6,70,46,1.99,7,0.30,39,26,31,15,25,3,22,4,825,16,89,282,466,120,44,43.2,50.0,527,1410,57,21,32,25,16,609,194,26,25,12,52,60,7,20,25.9
Bruno Fernandes,POR,Manchester Utd,MF,30-236,33,32,"2,758",8,9,4,2,9.5,7.6,65,281,118,0.26,0.29,0.31,0.25,N/a,N/a,N/a,N/a,30.1,0.82,0.06,21.9,1522,75.2,26743,86.7,80.4,52.6,84,176,73,11,281,169,5.51,12,0.39,76,47,75,46,32,4,28,25,2394,59,398,1130,888,71,65,41.5,49.2,1379,3436,65,60,11,38,37,1665,118,26,37,2,172,192,21,28,42.9
Bruno Guimarães,BRA,Newcastle Utd,MF,27-167,34,34,"2,912",4,6,6,0,3.8,5.6,53,241,79,0.12,0.19,0.12,0.17,N/a,N/a,N/a,N/a,23.7,0.28,0.11,16.2,1305,82.1,21511,90.7,87.5,56.4,45,158,67,6,241,119,3.68,17,0.53,71,41,61,32,33,9,24,27,1965,74,397,1011,578,71,71,47.9,29.6,1275,3063,53,39,11,51,73,1475,79,54,99,2,24,161,17,16,51.5
Bryan Mbeumo,CMR,Brentford,FW,25-268,34,34,"3,054",18,6,3,0,10.8,8.0,114,126,305,0.53,0.18,0.32,0.23,N/a,N/a,N/a,N/a,43.5,0.88,0.19,17.7,779,66.8,12432,79.2,72.4,37.5,65,54,55,16,126,131,3.86,17,0.50,44,29,30,13,22,3,19,14,1576,50,225,502,876,144,95,46.3,41.1,955,3125,114,62,67,96,38,1072,305,23,42,11,177,138,32,69,31.7
Bukayo Saka,ENG,Arsenal,"FW,MF",23-239,21,17,"1,454",6,10,3,0,5.9,6.7,79,61,222,0.37,0.62,0.36,0.42,N/a,N/a,N/a,N/a,35.2,1.18,0.09,15.9,470,75.1,7266,90.0,72.4,48.2,49,13,32,10,61,100,6.19,22,1.36,23,13,20,10,19,0,19,2,840,6,46,180,621,139,83,44.6,41.0,535,2065,79,27,43,28,37,610,222,13,35,5,109,61,8,19,29.6
Caleb Okoli,ITA,Leicester City,DF,23-293,18,12,"1,124",1,0,4,0,0.6,0.0,3,32,2,0.08,0.00,0.05,0.00,N/a,N/a,N/a,N/a,50.0,0.16,0.25,13.5,558,86.4,9738,91.3,91.0,55.4,0,21,1,0,32,4,0.32,0,0.00,25,14,18,7,24,14,10,15,804,152,450,324,35,10,0,N/a,N/a,467,1106,3,6,0,10,2,483,2,16,9,0,1,44,23,21,52.3
Callum Hudson-Odoi,ENG,Nott'ham Forest,"FW,MF",24-176,29,25,"2,152",5,2,2,0,2.5,2.7,127,66,186,0.21,0.08,0.10,0.11,N/a,N/a,N/a,N/a,45.9,0.71,0.14,18.3,674,82.2,9918,92.1,81.8,51.2,44,36,31,11,66,94,3.93,11,0.46,20,14,17,6,11,0,11,13,1005,15,111,324,595,72,62,58.1,29.0,627,3336,127,61,45,44,23,765,186,12,22,8,75,91,3,10,23.1
Callum Wilson,ENG,Newcastle Utd,FW,33-064,14,1,268,0,0,1,0,0.3,0.1,5,3,11,0.00,0.00,0.11,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,15.0,27,69.2,381,76.5,80.0,N/a,1,1,0,0,3,6,2.01,0,0.00,2,2,2,2,2,0,2,1,71,1,5,41,28,15,5,20.0,40.0,36,92,5,4,5,10,8,42,11,2,1,3,2,10,2,12,14.3
Calvin Bassey,NGA,Fulham,DF,25-122,32,31,"2,804",1,0,6,0,1.0,0.1,35,104,13,0.03,0.00,0.03,0.00,N/a,N/a,N/a,N/a,28.6,0.13,0.07,15.3,1759,89.6,30963,94.9,94.0,60.3,2,135,2,0,104,22,0.71,3,0.10,51,32,28,8,37,17,20,18,2245,294,1099,1050,120,18,29,44.8,34.5,1443,4343,35,17,5,32,8,1559,13,24,30,2,6,155,40,31,56.3
Cameron Archer,ENG,Southampton,FW,23-285,31,13,"1,361",2,0,0,0,5.1,0.4,19,14,62,0.13,0.00,0.34,0.02,N/a,N/a,N/a,N/a,33.3,0.60,0.07,13.1,189,81.1,2474,85.6,91.4,55.6,3,6,7,0,14,17,1.13,0,0.00,11,7,9,7,5,1,4,2,360,16,59,161,143,49,31,45.2,51.6,207,499,19,9,14,33,24,253,62,16,12,7,3,34,8,27,22.9
Cameron Burgess,AUS,Ipswich Town,DF,29-193,16,14,"1,361",0,1,0,0,0.7,0.5,2,40,4,0.00,0.07,0.05,0.03,N/a,N/a,N/a,N/a,11.1,0.07,0.00,9.7,542,80.8,9841,90.8,86.5,50.9,6,42,4,0,40,12,0.79,2,0.13,14,9,9,2,18,13,5,13,849,204,510,296,44,21,0,N/a,N/a,391,935,2,4,0,2,0,492,4,4,4,1,0,37,38,19,66.7
Caoimhín Kelleher,IRL,Liverpool,GK,26-160,10,10,900,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.20,67.6,40.0,100.0,N/a,0.00,N/a,N/a,289,75.7,6252,100.0,100.0,31.9,0,6,0,0,0,3,0.30,1,0.10,0,0,0,0,0,0,0,0,398,286,396,2,0,0,1,100.0,0.0,290,616,0,0,0,1,0,275,0,0,3,0,0,18,1,0,100.0
Carlos Alcaraz,ARG,Everton,"FW,MF",22-153,11,4,491,1,1,3,0,1.3,1.3,14,27,10,0.18,0.18,0.24,0.23,N/a,N/a,N/a,N/a,31.6,1.10,0.05,20.4,147,76.6,2608,85.1,86.5,57.7,10,12,15,2,27,23,4.22,2,0.37,11,5,9,6,5,1,4,3,264,10,47,111,112,14,14,64.3,28.6,145,502,14,15,2,11,10,169,10,9,6,1,9,24,10,6,62.5
Carlos Baleba,CMR,Brighton,MF,21-119,30,27,"2,313",3,1,8,1,3.0,1.3,40,111,26,0.12,0.04,0.12,0.05,N/a,N/a,N/a,N/a,27.5,0.43,0.08,25.1,1018,87.7,17164,92.7,91.7,64.3,20,103,22,2,111,60,2.34,4,0.16,71,41,72,28,43,10,33,40,1506,84,361,891,293,11,51,58.8,35.3,857,2564,40,40,3,36,35,913,26,38,43,0,8,172,38,23,62.3
Carlos Forbs,POR,Wolves,"MF,FW",21-044,10,1,239,0,0,2,0,0.1,0.0,10,8,28,0.00,0.00,0.05,0.01,N/a,N/a,N/a,N/a,0.0,0.00,0.00,19.1,60,65.9,788,76.5,73.1,20.0,1,2,3,1,8,5,1.89,1,0.38,8,5,6,2,3,0,3,1,121,3,23,39,60,13,12,58.3,41.7,75,321,10,3,8,7,4,85,28,2,1,0,9,11,1,3,25.0
Carlos Soler,ESP,West Ham,"MF,FW",28-120,28,14,"1,347",1,1,5,0,1.7,1.2,16,52,33,0.07,0.07,0.11,0.08,N/a,N/a,N/a,N/a,29.2,0.47,0.04,19.1,530,85.1,8264,94.4,85.7,53.7,14,41,11,0,52,46,3.08,2,0.13,13,10,22,16,19,6,13,8,738,26,172,384,187,22,18,44.4,50.0,338,714,16,16,4,11,14,502,33,24,17,0,31,63,9,11,45.0
Casemiro,BRA,Manchester Utd,MF,33-068,22,16,"1,335",1,0,3,0,1.7,2.3,4,70,26,0.07,0.00,0.11,0.15,N/a,N/a,N/a,N/a,28.6,0.54,0.04,18.8,670,78.5,11089,86.4,83.7,59.8,20,68,20,6,70,49,3.31,3,0.20,77,46,66,25,33,10,23,12,1091,69,327,555,217,38,6,50.0,50.0,575,823,4,10,0,10,10,697,26,17,18,3,19,89,31,17,64.6
Charlie Taylor,ENG,Southampton,DF,31-226,7,2,266,0,0,1,0,0.0,0.1,3,8,6,0.00,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,154,87.0,2691,94.0,89.5,70.6,1,8,2,1,8,2,0.68,1,0.34,7,5,6,1,5,3,2,3,219,21,93,91,36,1,2,100.0,0.0,91,155,3,3,0,1,1,133,6,2,2,0,9,7,4,2,66.7
Cheick Doucouré,MLI,Crystal Palace,MF,25-114,13,4,452,0,0,1,0,0.4,0.0,2,19,7,0.00,0.00,0.08,0.00,N/a,N/a,N/a,N/a,0.0,0.00,0.00,20.6,174,85.3,2909,89.4,89.7,80.0,1,17,3,0,19,9,1.79,3,0.60,16,8,11,6,4,0,4,11,263,11,56,165,45,4,5,40.0,40.0,133,280,2,7,1,4,7,160,7,7,7,0,1,31,5,5,50.0
Chiedozie Ogbene,IRL,Ipswich Town,FW,28-001,5,3,238,0,0,0,0,0.0,0.1,7,0,15,0.00,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,32,74.4,415,83.3,80.0,100.0,2,0,0,0,0,3,1.13,0,0.00,7,3,4,2,1,0,1,1,70,3,11,19,40,6,7,14.3,42.9,41,139,7,2,2,4,2,43,15,2,7,1,4,6,1,6,14.3
Chris Richards,USA,Crystal Palace,DF,25-035,20,18,"1,562",1,0,4,1,1.2,0.1,5,34,1,0.06,0.00,0.07,0.01,N/a,N/a,N/a,N/a,50.0,0.29,0.10,11.8,583,81.1,10347,89.2,90.3,44.2,2,20,0,0,34,7,0.40,2,0.12,42,27,38,15,35,13,22,10,935,111,513,371,56,15,6,16.7,83.3,433,850,5,5,0,5,5,525,1,11,4,1,1,48,33,35,48.5
Chris Wood,NZL,Nott'ham Forest,FW,33-146,32,31,"2,599",19,3,1,0,11.4,2.4,13,34,79,0.66,0.10,0.40,0.08,N/a,N/a,N/a,N/a,57.4,1.07,0.30,14.2,279,66.6,3858,71.7,65.7,72.7,18,15,8,1,34,40,1.39,5,0.17,4,4,8,7,11,7,4,5,661,33,80,316,267,85,12,33.3,58.3,325,438,13,10,5,67,24,485,79,22,20,26,1,42,82,122,40.2
Christian Eriksen,DEN,Manchester Utd,MF,33-077,20,11,994,0,1,4,0,0.3,2.6,10,49,29,0.00,0.09,0.03,0.24,N/a,N/a,N/a,N/a,11.1,0.09,0.00,24.8,548,79.5,9150,91.9,80.3,49.1,23,53,8,2,49,45,4.07,6,0.54,19,9,24,13,13,4,9,7,778,24,160,376,246,13,3,0.0,100.0,424,677,10,11,0,11,5,514,29,8,3,0,74,59,2,5,28.6
Christian Nørgaard,DEN,Brentford,MF,31-053,30,30,"2,459",5,2,6,1,3.7,0.8,12,126,34,0.18,0.07,0.14,0.03,N/a,N/a,N/a,N/a,32.4,0.40,0.15,14.6,1012,81.7,16748,87.2,85.9,58.6,16,124,23,3,126,49,1.79,9,0.33,73,45,68,26,48,18,30,43,1571,158,542,751,293,51,12,50.0,33.3,719,1163,12,12,4,30,18,940,34,39,26,1,14,175,42,29,59.2
Christian Walton,ENG,Ipswich Town,GK,29-174,6,6,540,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.67,57.6,16.7,0.0,N/a,0.00,N/a,N/a,152,67.3,4170,100.0,97.2,36.8,1,1,0,0,0,2,0.33,0,0.00,0,0,1,1,0,0,0,0,242,224,241,1,0,0,0,N/a,N/a,122,305,0,0,0,0,0,117,0,0,1,0,0,5,2,0,100.0
Christopher Nkunku,FRA,Chelsea,FW,27-169,27,9,921,3,2,2,0,4.8,2.1,17,25,68,0.29,0.20,0.47,0.21,N/a,N/a,N/a,N/a,44.0,1.07,0.12,12.6,299,89.5,3928,91.6,92.2,100.0,14,26,7,0,25,34,3.32,4,0.39,12,8,8,2,9,2,7,7,448,10,52,183,217,52,27,37.0,51.9,280,628,17,16,13,18,17,356,68,16,11,3,4,29,16,22,42.1
Cody Gakpo,NED,Liverpool,FW,25-360,31,19,"1,627",9,3,5,0,6.4,3.5,48,51,240,0.50,0.17,0.35,0.19,N/a,N/a,N/a,N/a,40.0,1.11,0.18,15.1,415,76.0,5915,86.5,67.2,55.2,33,22,26,8,51,70,3.87,7,0.39,26,14,23,12,19,2,17,11,759,20,72,217,486,87,48,58.3,31.3,510,1820,48,30,18,38,19,570,240,17,23,5,64,62,15,22,40.5
Cole Palmer,ENG,Chelsea,MF,22-361,33,32,"2,831",14,8,6,0,15.8,9.3,103,194,165,0.45,0.25,0.50,0.30,N/a,N/a,N/a,N/a,36.0,1.27,0.10,20.3,1019,76.9,19338,85.9,84.8,59.6,78,145,61,17,194,180,5.72,14,0.45,25,16,21,13,14,1,13,8,1650,20,133,735,804,126,103,45.6,39.8,1046,3306,103,66,35,61,34,1219,165,12,55,6,133,93,1,7,12.5
Conor Bradley,NIR,Liverpool,DF,21-297,15,4,533,0,1,3,0,0.6,0.5,26,25,27,0.00,0.17,0.10,0.08,N/a,N/a,N/a,N/a,33.3,0.51,0.00,14.3,358,83.8,5339,91.6,88.2,35.5,5,20,3,1,25,16,2.71,2,0.34,11,8,16,8,4,0,4,3,511,17,142,238,140,33,16,37.5,56.3,282,1012,26,17,7,8,2,322,27,8,10,0,5,34,7,6,53.8
Conor Chaplin,ENG,Ipswich Town,"MF,FW",28-075,18,7,645,1,1,1,0,1.2,0.6,10,25,20,0.14,0.14,0.16,0.09,N/a,N/a,N/a,N/a,25.0,0.42,0.08,18.3,173,73.3,2702,83.5,78.4,33.3,6,17,7,2,25,19,2.66,1,0.14,12,5,13,7,8,1,7,3,293,7,49,146,103,12,6,50.0,50.0,140,380,10,7,0,11,3,198,20,10,5,0,9,23,2,8,20.0
Conor Coady,ENG,Leicester City,DF,32-066,18,15,"1,354",0,0,2,0,0.1,0.1,2,28,0,0.00,0.00,0.01,0.00,N/a,N/a,N/a,N/a,100.0,0.07,0.00,9.2,764,90.6,13171,96.7,96.8,52.9,1,31,2,0,28,4,0.27,0,0.00,12,8,5,2,26,19,7,11,958,186,521,421,17,6,2,50.0,50.0,636,1403,2,2,1,4,2,703,0,7,2,1,0,46,13,16,44.8
Conor Townsend,ENG,Ipswich Town,DF,32-059,6,3,335,0,1,1,0,0.0,0.7,2,8,13,0.00,0.27,0.01,0.18,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.7,80,63.0,1418,82.1,74.5,29.2,4,7,2,2,8,5,1.34,1,0.27,11,8,11,3,8,6,2,4,172,28,87,50,38,5,0,N/a,N/a,53,136,2,2,0,2,2,75,13,2,4,0,12,8,6,4,60.0
Craig Dawson,ENG,Wolves,DF,34-361,15,10,971,0,0,2,0,0.5,0.0,6,20,5,0.00,0.00,0.05,0.00,N/a,N/a,N/a,N/a,20.0,0.09,0.00,8.5,484,86.6,9745,92.5,93.0,60.0,2,22,1,0,20,7,0.65,2,0.19,15,3,15,3,16,11,5,9,671,130,396,249,28,14,5,20.0,40.0,390,938,6,1,0,2,0,443,5,6,5,2,0,35,21,11,65.6
Cristian Romero,ARG,Tottenham,DF,27-005,18,18,"1,416",1,0,3,0,1.6,0.6,12,71,3,0.06,0.00,0.10,0.04,N/a,N/a,N/a,N/a,50.0,0.51,0.06,9.1,1094,89.5,20402,91.4,94.7,63.5,7,109,8,1,71,20,1.27,4,0.25,35,29,30,9,18,3,15,21,1377,157,594,720,74,23,4,25.0,50.0,896,2893,12,18,0,10,5,936,3,14,12,2,3,90,41,27,60.3
Crysencio Summerville,NED,West Ham,"FW,MF",23-184,19,7,786,1,1,2,0,1.6,1.7,29,18,71,0.11,0.11,0.19,0.19,N/a,N/a,N/a,N/a,28.6,0.46,0.07,13.4,194,76.4,2881,84.5,88.7,50.0,17,13,12,5,18,35,4.01,1,0.11,13,7,9,6,13,4,9,0,372,9,47,147,181,38,39,33.3,46.2,207,762,29,15,13,20,16,259,71,9,23,4,21,38,4,9,30.8
Curtis Jones,ENG,Liverpool,"MF,DF",24-092,29,16,"1,438",3,3,3,1,4.1,1.0,23,85,67,0.19,0.19,0.26,0.06,N/a,N/a,N/a,N/a,38.7,0.75,0.10,16.9,821,93.2,11932,96.9,92.5,75.6,19,60,16,0,85,41,2.57,7,0.44,34,18,23,8,15,7,8,5,1040,27,160,555,331,50,16,62.5,31.3,632,1383,23,15,5,22,29,781,67,15,23,1,6,78,13,12,52.0
Daichi Kamada,JPN,Crystal Palace,MF,28-270,30,13,"1,338",0,0,3,1,1.0,1.8,23,73,52,0.00,0.00,0.07,0.12,N/a,N/a,N/a,N/a,23.5,0.27,0.00,19.4,511,79.5,8122,87.9,82.0,55.1,19,39,13,2,73,46,3.09,3,0.20,43,25,37,25,19,4,15,16,804,18,172,420,217,28,13,30.8,53.8,403,949,23,17,4,13,18,518,52,25,17,2,27,67,3,12,20.0
Dan Burn,ENG,Newcastle Utd,DF,32-358,33,33,"2,970",1,0,10,0,1.7,0.9,9,56,10,0.03,0.00,0.05,0.03,N/a,N/a,N/a,N/a,25.0,0.15,0.05,9.9,1578,89.4,28670,91.0,94.8,62.3,8,35,7,0,56,21,0.64,3,0.09,33,19,32,15,32,23,9,25,2104,335,1183,823,103,46,4,75.0,25.0,1203,2383,9,5,1,21,3,1417,10,28,11,5,2,91,127,62,67.2
Dango Ouattara,BFA,Bournemouth,FW,23-080,31,20,"1,932",7,4,2,0,8.4,5.2,77,41,187,0.33,0.19,0.39,0.24,N/a,N/a,N/a,N/a,32.3,0.93,0.11,13.5,354,59.8,5548,72.5,62.5,37.9,32,20,24,10,41,68,3.17,6,0.28,34,25,40,23,34,9,25,11,930,60,160,298,490,127,77,46.8,41.6,479,1706,77,33,38,60,32,559,187,15,19,14,85,88,43,59,42.2
Daniel Muñoz,COL,Crystal Palace,DF,28-341,33,33,"2,868",4,4,9,0,4.6,4.4,49,83,183,0.13,0.13,0.14,0.14,N/a,N/a,N/a,N/a,37.5,0.38,0.13,12.3,1004,75.8,15308,85.7,77.1,44.3,39,53,31,13,83,74,2.32,9,0.28,109,70,86,37,35,3,32,39,1788,107,508,743,556,89,50,38.0,58.0,695,1461,49,32,15,50,18,846,183,47,19,13,60,149,56,73,43.4
Danilo,BRA,Nott'ham Forest,"MF,FW",24-003,7,5,267,0,0,0,0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,89,78.1,1435,84.3,83.7,60.0,0,13,0,0,11,7,2.37,2,0.68,6,3,4,2,2,1,1,3,140,8,50,78,13,0,6,50.0,50.0,49,61,2,0,0,6,0,83,1,1,0,0,3,18,1,1,50.0
Danny Ings,ENG,West Ham,"FW,MF",32-283,15,1,284,1,2,0,0,2.3,1.3,6,5,29,0.32,0.63,0.72,0.41,N/a,N/a,N/a,N/a,35.7,1.58,0.07,15.5,63,68.5,830,83.7,65.5,20.0,6,4,1,0,5,12,3.80,2,0.63,4,2,3,2,5,0,5,1,139,2,15,51,73,27,7,57.1,28.6,63,118,6,0,2,6,6,96,29,0,2,0,3,9,8,10,44.4
Danny Ward,WAL,Leicester City,GK,31-314,2,1,135,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,4.00,40.0,0.0,N/a,N/a,0.00,N/a,N/a,41,77.4,1162,100.0,100.0,55.6,0,2,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,55,40,55,0,0,0,1,0.0,100.0,44,107,0,0,0,0,0,35,0,0,0,0,0,1,0,0,N/a
Danny Welbeck,ENG,Brighton,FW,34-157,27,21,"1,852",9,4,4,0,8.1,1.1,19,40,80,0.44,0.19,0.39,0.05,N/a,N/a,N/a,N/a,37.7,0.97,0.17,15.2,352,84.0,4120,86.0,87.6,100.0,17,15,12,0,40,42,2.04,6,0.29,22,13,17,11,16,2,14,5,625,15,48,266,315,90,36,33.3,58.3,379,751,19,20,7,44,23,462,80,11,21,3,3,37,15,24,38.5
Dara O'Shea,IRL,Ipswich Town,DF,26-059,31,31,"2,762",0,2,6,0,1.1,0.5,3,70,7,0.00,0.07,0.04,0.02,N/a,N/a,N/a,N/a,10.5,0.07,0.00,13.7,1084,77.7,21631,86.4,84.8,50.4,3,81,3,1,70,20,0.65,3,0.10,45,28,31,11,59,47,12,31,1797,359,1046,643,113,47,2,50.0,50.0,795,1713,3,2,0,11,4,1018,7,16,22,3,6,98,100,77,56.5
Darwin Núñez,URU,Liverpool,FW,25-312,26,8,"1,018",5,2,8,0,5.0,1.2,22,27,67,0.44,0.18,0.44,0.11,N/a,N/a,N/a,N/a,37.5,1.06,0.16,14.5,147,70.7,2203,80.6,73.8,66.7,9,9,2,0,27,26,2.29,4,0.35,18,15,15,10,6,0,6,3,330,10,43,111,186,62,21,38.1,57.1,178,528,22,17,12,21,17,220,67,27,14,11,2,38,16,29,35.6
David Brooks,WAL,Bournemouth,"FW,MF",27-298,25,8,815,2,0,3,0,2.2,1.7,25,27,75,0.22,0.00,0.24,0.19,N/a,N/a,N/a,N/a,45.5,1.10,0.09,16.8,243,74.1,3748,84.7,76.2,50.0,16,15,15,5,27,35,3.87,2,0.22,11,4,13,12,16,2,14,5,446,12,53,163,238,32,30,26.7,63.3,275,802,25,21,8,27,10,303,75,8,15,0,44,44,7,9,43.8
David Raya,ESP,Arsenal,GK,29-229,34,34,"3,060",0,0,2,0,0.0,0.0,0,12,0,0.00,0.00,0.00,0.00,0.85,75.5,35.3,0.0,N/a,0.00,N/a,N/a,945,74.7,22291,99.3,98.4,38.1,0,39,1,0,12,4,0.12,1,0.03,0,0,2,2,0,0,0,2,1321,772,1240,81,0,0,1,100.0,0.0,821,2479,0,0,0,1,0,756,0,1,8,0,0,38,10,0,100.0
Dean Henderson,ENG,Crystal Palace,GK,28-051,34,34,"3,060",0,0,3,0,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,1.38,66.9,29.4,50.0,0.0,0.00,0.00,14.9,672,61.8,18496,99.4,99.4,31.3,2,20,1,0,0,3,0.09,0,0.00,2,1,6,4,0,0,0,0,1173,954,1169,3,1,1,0,N/a,N/a,674,1919,0,0,0,2,0,510,0,0,0,0,0,25,11,1,91.7
Dean Huijsen,ESP,Bournemouth,DF,20-018,28,23,"2,144",2,1,8,0,1.7,2.0,36,112,10,0.08,0.04,0.07,0.08,N/a,N/a,N/a,N/a,11.8,0.08,0.12,12.3,1147,83.6,23184,89.1,91.4,60.5,14,142,7,2,112,38,1.60,3,0.13,33,23,25,10,35,27,8,49,1723,229,786,824,122,29,5,40.0,60.0,937,3725,36,24,0,16,1,1050,10,28,9,2,12,93,63,41,60.6
Declan Rice,ENG,Arsenal,MF,26-108,32,30,"2,572",2,7,7,1,2.7,6.5,87,175,88,0.07,0.24,0.09,0.23,N/a,N/a,N/a,N/a,24.4,0.35,0.05,19.7,1285,83.6,21932,92.4,90.3,49.3,55,123,34,5,175,102,3.57,9,0.31,49,22,37,21,24,11,13,24,1806,71,294,846,683,74,26,42.3,53.8,960,3225,87,54,16,36,29,1182,88,19,15,1,155,139,30,23,56.6
